Deal Name, Vendor, Original Price, Discounted Price
Harry & David Tower of Treats Signature Holiday Gift,Harry and David,$45,$20
ShutterFly 20-Page 8"x 8" Hardcover Photo Book,ShutterFly,$20,$8
Bank of America® Cash Rewards Credit Card,Bank of America - Bank Advertiser,Not Available,$200 Bonus Offer
Cuisinart TOB-135N 157 Deluxe 6-Slice Convection Toaster Oven & Broiler,eBay,$123,$80
Monoprice Select Plus 2-Port Power Banks&colon 16&comma000mAh &dollar13&comma 10&comma000mAh,Monoprice,$18,$9
Chase Sapphire Preferred Card&colon Spend &dollar4K on Purchases & Earn,Chase - Bank Advertiser,Not Available,60000 Points
Dollhouse &lparDigital HD&rpar&colon Season 1 or 2,VUDU,Not Available,$5 each
Aukey DR02 1080p Dashcam w&sol Sony Sensor & Night Vision,Amazon,$70,$45.45
Eufy Security Wi-Fi 2K HD Video Doorbell &plus Wireless Chime,Amazon,$160,$110
Robotime 3D Wooden Puzzle Solar Rover Kits&colon Curiosity&comma Hermes or Spirit,Amazon,$29,$16 each
AdGuard Personal&colon Lifetime Subscription for 3 Devices,StackSocial,$60,$20
Amazon&colon Discover Cardholders&colon Pay w&sol Points&comma Get,Amazon,Not Available,$20 off $50
Statgear Pocket Samurai Keychain Knife &lparTitanium Edition&comma Black or Gray&rpar,StatGear Tools,Not Available,$20
Walgreens Photo&colon Custom Posters&colon 20" x 30" &dollar6&comma 24" x 36" &dollar7&period50&comma 16" x 20",Walgreens,$16,$4
Chase Ink Business Cash Card,Chase - Bank Advertiser,Not Available,$500 Cash Back
Lowepro DroneGuard BP 400 Backpack for DJI Phantom Drone & More,Adorama,$150,$30
35&period09oz Snickers Fun Size Chocolate Candy Bars Variety Mix Bag,Amazon,$9,$6.75
Chase Ink Business Unlimited Credit Card,Chase - Bank Advertiser,Not Available,$500 Bonus
24-Pack V8 Original Low-Sodium Vegetable Juice &lpar11&period5oz ea&rpar,Amazon,$16,$10.35
Aukey 10000mAh USB-C w&sol QC 3&period0 &plus 18W PD USB Powerbank,Amazon,$47,$21
Chase Ink Business Preferred Card,Chase - Bank Advertiser,Not Available,80K Points
adidas Women's Ultraboost S&L Running Sneakers,Macy's,$180,$60
Verizon Fios&colon 100&sol100 Mbps Internet &plus 1-Year Disney&plus Streaming,Verizon Fios,Not Available,$39.99/month
Costco Members&colon 10-Quart Kirkland Signature Full Synthetic Motor Oil &lparvarious&rpar,Costco Wholesale,$30,$25
Costco Anywhere Visa® Card by Citi,Citi - Bank Advertiser,Not Available,Cash Back
Kohl's Cardholders&colon Maidenform One Fabulous Fit Underwire T-Shirt Bra &lparTropical&rpar,Kohl's,$42,$8.80
5lbs Brach's Classic Jelly Beans &lparBulk Packaging&rpar,Amazon,Not Available,$4
Garden of Life 14oz Extra Virgin Coconut Oil &lparUnrefined&rpar,Amazon,$10,$4.80
Terra Nova&colon Season 1 &lparDigital HDX&rpar,VUDU,$36,$5
Kohl's Cardholders&colon Women's Apt&period 9 Soft Holiday Leggings &lparvarious designs&rpar,Kohl's,$13,$2.75
70-Count Cascade Platinum Plus Dishwasher Detergent ActionPacs &lparLemon&rpar,Amazon,$20,$14
27" Dell UltraSharp U2717D 1440p QHD InfinityEdge IPS Monitor,Dell Small Business,$600,$270
Mountain Hardwear Men's & Women's Exposure&sol2 Gore-Tex Paclite Stretch Pullover,Mountain Hardwear,$250,$100
Anker PowerPort Power Cube w&sol 3 Outlets &plus 3 USB Ports &lparWhite&rpar,Amazon,$26,$19
H&R Block 2019 Deluxe &plus State &lparPC or Mac Digital Download&rpar,Walmart,$45,$20
Walgreens Photo&colon 75&percnt Off "Everything for the Wall Items"&colon 11"x 14" Canvas Print,Walgreens,$50,$12.50
PlayStation 2019 Wrap-up PS4 Dynamic Theme &plus Choice of 7 Avatars,Playstation Store,Not Available,Free
AmazonBasics 2-Port 18W USB-C & 12W USB-A Car Charger,Amazon,$6,$5.35
Kohl's Cardholders&colon 20-Pack Carter's Short Sleeve Bodysuits,Kohl's,Not Available,$29.35
American Tourister Zoom Expandable Softside Spinner Luggage&colon 25" &dollar59&comma 21",BuyDig,$100,$49
AMC Stubs Members&colon Purchase&solSee Bad Boys for Life & Get Bad Boys 1 &plus 2 Digital,AMC Theatres,Not Available,Free
Turok&colon Dinosaur Hunter &lparXbox One Digital Download&rpar,Microsoft Store,$20,$5
Lavish Home Over the Door Pantry&solBathroom Organizer w&sol 6 Shelves,Walmart,$25,$14
12-Treatments Heartgard Plus Chewable Tablets for Dogs 51-100 lbs,Chewy,Not Available,$64
2-Pack Aukey 24W&sol4&period8A Dual Port Car Charger,Amazon,$15,$10.50
They Might Be Giants&colon Flood &lparLive Performance Album Digital Download&rpar,TheyMightBeGiants,Not Available,Free
Kohl's Cardholders&colon Men's Croft & Barrow Shorts &lparvarious style&rpar,Kohl's,$36,From $5
32" Samsung 1080p 60Hz 4ms FHD LCD Curved Monitor,Walmart,$250,$150
Amazon Warehouse Deals&colon Select Used & Open Box Items,Amazon,Not Available,Not Available
Kohl's Cardholders Coupon for Additional Savings,Kohl's,Not Available,Not Available
American Airlines Roundtrip Flight&colon Washington&comma DC to and from San Diego,Kayak,Not Available,from $108
9-Piece Tramontina Non-stick Cookware Set &lparRed or Champagne&rpar,Walmart,$40,$19.90
